plot	area	altitude	aspect	slope	coverE2	coverE1	cover_moss	cover_lich	cover_bare	pH.H	soildepth	soildepth_sd	classification	latitude	longitude
555409	16	455	90	5	0	70	0	25	0	5.2	11	5.6	JmFo	49.2238056	15.917
555411	8	480	NA	0	0	40	10	10	20	4.92	5.2	2.9	PpSp	49.2713889	15.9577778
555414	16	432	210	15	0	40	25	0	0	4.9	9.4	4.7	JmFo	49.2199722	15.8818611
555415	16	520	180	20	8	60	20	2	3	4.56	12.8	2.1	PpSp	49.2486389	15.8640556
555418	16	430	140	10	0	65	10	0	0	4.95	6.2	1.5	FVd	49.2363333	15.9091111
555428	16	418	219	30	0	45	35	0	20	4.82	8	6.4	FVd	49.2124722	15.9771111
555429	16	448	180	8	0	99	3	0	0	5.61	17.4	4	PhFr	49.234	15.9318333
555430	15	448	225	50	0	65	25	0	0	5.07	19.4	7.1	PhFr	49.234	15.9318333
555431	16	415	200	25	0	60	20	3	5	4.88	11.2	5.9	FVd	49.2125556	15.9753056
555432	16	462	220	30	0	25	60	10	10	5.12	18.2	6.7	PpSp	49.2468333	15.8894444
555433	15	449	220	30	0	60	20	5	0	5.3	16.6	8	JmFo	49.2431389	15.8921944
555474	16	451	190	7	0	55	5	20	0	5	15.4	6.3	JmFo	49.2498889	15.9365833
555475	16	459	180	20	0	70	15	1	2	5.35	27	3.1	JmFo	49.2497222	15.9368889
555477	16	386	180	30	0	35	20	5	35	5.14	11.4	11.5	JmFo	49.2436944	15.9803056
555478	16	386	160	10	0	65	5	20	3	5.22	13.4	4.8	FVd	49.2369167	15.9755278
555482	16	401	122	20	0	60	17	0	2	4.67	13.6	4.5	PpSp	49.2169444	15.8846944
555518	16	565	160	15	0	80	20	5	0	5.09	16	4.5	JmFo	49.1656944	15.9260278
555519	16	532	NA	0	0	55	20	5	20	4.49	5	2.5	PpSp	49.1639722	15.9250278
555714	16	470	220	10	0	70	10	15	0	4.84	7.6	1.7	JmFo	49.2673333	15.9891111
555715	16	491	190	13	0	25	15	45	10	4.71	13.4	10.6	JmFo	49.2711389	15.9959167
555716	16	475	190	11	0	80	10	5	0	4.82	15.6	4.3	JmFo	49.2709167	15.9954722
555717	16	475	225	18	0	45	20	10	10	4.71	21.6	7.8	PhFr	49.2161944	15.9974167
555718	16	475	225	18	0	45	20	10	10	4.85	17.2	10	PhFr	49.216	15.9965556
555732	15	475	210	15	0	60	5	20	0	4.66	20.6	10.2	PpSp	49.2671389	15.9804167
555735	8	430	210	18	0	20	10	10	75	4.11	1.4	1.3	JmFo	49.2263611	15.9226944
555736	16	450	80	5	0	70	35	10	0	5.06	16.2	9.9	PhFr	49.2224444	15.9180833
555737	16	536	190	35	0	60	20	15	0	5.19	18.4	8.6	unclass	49.2565	15.854
555738	16	460	235	20	0	35	10	60	1	4.75	11.8	4.3	JmFo	49.2596944	15.9278333
555739	16	460	NA	0	0	80	20	10	0	4.81	19.6	1.1	JmFo	49.2366667	15.9576111
555740	16	432	175	5	0	30	20	65	0	4.93	7.6	2.3	JmFo	49.2337222	15.9165
555741	12	460	230	10	0	20	15	70	0	4.77	7.2	1.5	JmFo	49.24825	15.8898056
555742	16	480	200	5	0	80	20	0	0	5.36	15.6	4.6	unclass	49.2713611	15.9578056
555758	15	483	220	10	0	85	15	1	3	5.79	22.2	6.4	unclass	49.2603611	16.0333056
555759	16	480	NA	0	0	60	5	20	15	5.14	9.6	7.2	JmFo	49.2549722	16.0572222
555760	15	482	340	10	0	55	15	30	10	4.68	15.8	8.6	JmFo	49.2536389	16.0416111
555761	16	482	NA	0	0	85	30	8	5	4.63	24.2	7.8	JmFo	49.2520833	16.0513889
555769	15	440	210	15	0	45	5	1	0	5.59	19.8	5.8	unclass	49.2174444	15.9784722
555770	16	470	190	5	0	95	5	0	0	5.74	18.8	8.2	unclass	49.23625	16.0319722
555771	16	463	170	55	0	70	15	25	0	5.28	10.4	4.7	JmFo	49.2339722	16.0329722
555772	15	487	185	20	0	70	15	5	2	4.63	26.2	3.8	JmFo	49.3057778	16.0470833
555773	16	483	20	18	0	85	30	20	1	4.88	14.2	9.5	JmFo	49.3018611	16.0527778
555774	15	487	260	15	0	40	15	35	10	4.16	7.6	4.9	PpSp	49.2611667	16.0072778
555775	15	481	130	15	0	70	15	20	0	4.95	8.4	8.8	JmFo	49.2616111	16.0058056
555776	15	470	30	5	0	95	5	1	0	4.87	22.8	10.1	VvAp	49.2399444	15.9984444
555777	15	458	300	5	0	85	2	10	0	4.87	7.6	2.3	unclass	49.2406389	15.9949167
555778	15	454	300	10	0	30	20	25	25	4.98	2.2	1.8	JmFo	49.2410278	15.9948056
555779	16	440	145	18	0	65	10	20	1	5.02	17	3.5	JmFo	49.2044444	15.9493972
555780	16	451	180	10	0	85	5	5	2	5.07	8.2	2.9	JmFo	49.2051111	15.9491667
